iter	Passed	Remaining
0	1	107
1	2	105
2	3	101
3	3	93
4	4	93
5	6	105
6	7	105
7	9	105
8	10	104
9	11	105
10	12	104
11	14	103
12	15	101
13	16	100
14	17	99
15	18	98
16	20	98
17	21	96
18	22	94
19	23	93
20	24	91
21	25	90
22	26	90
23	28	89
24	29	87
25	30	86
26	31	85
27	32	84
28	33	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	41	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	85	28
75	86	27
76	87	26
77	89	25
78	91	24
79	92	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	101	16
86	121	18
87	123	16
88	126	15
89	133	14
90	134	13
91	138	12
92	141	10
93	143	9
94	145	7
95	147	6
96	148	4
97	150	3
98	152	1
99	154	0
